cell_idx,format,algo,canon_name,run_id
168,posit16,prodigy,IGLA-SHORT-WAVE-MATRIX-posit16-h128-LR0.0001-rng1597-prodigy,wave-a-cell-168
169,posit32,adamw,IGLA-SHORT-WAVE-MATRIX-posit32-h128-LR0.0001-rng1597-adamw,wave-a-cell-169
170,posit32,muon,IGLA-SHORT-WAVE-MATRIX-posit32-h128-LR0.0001-rng1597-muon,wave-a-cell-170
171,posit32,sgdm,IGLA-SHORT-WAVE-MATRIX-posit32-h128-LR0.0001-rng1597-sgdm,wave-a-cell-171
172,posit32,lion,IGLA-SHORT-WAVE-MATRIX-posit32-h128-LR0.0001-rng1597-lion,wave-a-cell-172
173,posit32,lamb,IGLA-SHORT-WAVE-MATRIX-posit32-h128-LR0.0001-rng1597-lamb,wave-a-cell-173
174,posit32,soap,IGLA-SHORT-WAVE-MATRIX-posit32-h128-LR0.0001-rng1597-soap,wave-a-cell-174
175,posit32,shampoo,IGLA-SHORT-WAVE-MATRIX-posit32-h128-LR0.0001-rng1597-shampoo,wave-a-cell-175
176,posit32,prodigy,IGLA-SHORT-WAVE-MATRIX-posit32-h128-LR0.0001-rng1597-prodigy,wave-a-cell-176
177,posit64,adamw,IGLA-SHORT-WAVE-MATRIX-posit64-h128-LR0.0001-rng1597-adamw,wave-a-cell-177
178,posit64,muon,IGLA-SHORT-WAVE-MATRIX-posit64-h128-LR0.0001-rng1597-muon,wave-a-cell-178
179,posit64,sgdm,IGLA-SHORT-WAVE-MATRIX-posit64-h128-LR0.0001-rng1597-sgdm,wave-a-cell-179
180,posit64,lion,IGLA-SHORT-WAVE-MATRIX-posit64-h128-LR0.0001-rng1597-lion,wave-a-cell-180
181,posit64,lamb,IGLA-SHORT-WAVE-MATRIX-posit64-h128-LR0.0001-rng1597-lamb,wave-a-cell-181
182,posit64,soap,IGLA-SHORT-WAVE-MATRIX-posit64-h128-LR0.0001-rng1597-soap,wave-a-cell-182
183,posit64,shampoo,IGLA-SHORT-WAVE-MATRIX-posit64-h128-LR0.0001-rng1597-shampoo,wave-a-cell-183# TOTAL: 240 cells = 30 formats × 8 algos

184,posit64,prodigy,IGLA-SHORT-WAVE-MATRIX-posit64-h128-LR0.0001-rng1597-prodigy,wave-a-cell-184
185,gf4,adamw,IGLA-SHORT-WAVE-MATRIX-gf4-h128-LR0.0001-rng1597-adamw,wave-a-cell-185
186,gf4,muon,IGLA-SHORT-WAVE-MATRIX-gf4-h128-LR0.0001-rng1597-muon,wave-a-cell-186
187,gf4,sgdm,IGLA-SHORT-WAVE-MATRIX-gf4-h128-LR0.0001-rng1597-sgdm,wave-a-cell-187
188,gf4,lion,IGLA-SHORT-WAVE-MATRIX-gf4-h128-LR0.0001-rng1597-lion,wave-a-cell-188
189,gf4,lamb,IGLA-SHORT-WAVE-MATRIX-gf4-h128-LR0.0001-rng1597-lamb,wave-a-cell-189
190,gf4,soap,IGLA-SHORT-WAVE-MATRIX-gf4-h128-LR0.0001-rng1597-soap,wave-a-cell-190
191,gf4,shampoo,IGLA-SHORT-WAVE-MATRIX-gf4-h128-LR0.0001-rng1597-shampoo,wave-a-cell-191
192,gf4,prodigy,IGLA-SHORT-WAVE-MATRIX-gf4-h128-LR0.0001-rng1597-prodigy,wave-a-cell-192
193,gf8,adamw,IGLA-SHORT-WAVE-MATRIX-gf8-h128-LR0.0001-rng1597-adamw,wave-a-cell-193
194,gf8,muon,IGLA-SHORT-WAVE-MATRIX-gf8-h128-LR0.0001-rng1597-muon,wave-a-cell-194
195,gf8,sgdm,IGLA-SHORT-WAVE-MATRIX-gf8-h128-LR0.0001-rng1597-sgdm,wave-a-cell-195
196,gf8,lion,IGLA-SHORT-WAVE-MATRIX-gf8-h128-LR0.0001-rng1597-lion,wave-a-cell-196
197,gf8,lamb,IGLA-SHORT-WAVE-MATRIX-gf8-h128-LR0.0001-rng1597-lamb,wave-a-cell-197
198,gf8,soap,IGLA-SHORT-WAVE-MATRIX-gf8-h128-LR0.0001-rng1597-soap,wave-a-cell-198
199,gf8,shampoo,IGLA-SHORT-WAVE-MATRIX-gf8-h128-LR0.0001-rng1597-shampoo,wave-a-cell-199
200,gf8,prodigy,IGLA-SHORT-WAVE-MATRIX-gf8-h128-LR0.0001-rng1597-prodigy,wave-a-cell-200
201,gf12,adamw,IGLA-SHORT-WAVE-MATRIX-gf12-h128-LR0.0001-rng1597-adamw,wave-a-cell-201
202,gf12,muon,IGLA-SHORT-WAVE-MATRIX-gf12-h128-LR0.0001-rng1597-muon,wave-a-cell-202
